AuthorGender,CumPaper,count
Female,1,1004
Female,2,287
Female,3,155
Female,4,103
Female,5,70
Female,6,54
Female,7,39
Female,8,31
Female,9,30
Female,10,22
Female,11,20
Female,12,19
Female,13,16
Female,14,13
Female,15,12
Female,16,10
Female,17,8
Female,18,8
Female,19,8
Female,20,5
Female,21,5
Female,22,4
Female,23,4
Female,24,3
Female,25,3
Female,26,2
Female,27,1
Male,1,4418
Male,2,1356
Male,3,724
Male,4,481
Male,5,339
Male,6,250
Male,7,210
Male,8,175
Male,9,148
Male,10,133
Male,11,113
Male,12,102
Male,13,90
Male,14,74
Male,15,70
Male,16,57
Male,17,54
Male,18,52
Male,19,48
Male,20,43
Male,21,40
Male,22,37
Male,23,32
Male,24,30
Male,25,28
Male,26,25
Male,27,23
Male,28,19
Male,29,18
Male,30,18
Male,31,16
Male,32,16
Male,33,15
Male,34,15
Male,35,14
Male,36,13
Male,37,13
Male,38,12
Male,39,11
Male,40,10
Male,41,9
Male,42,9
Male,43,9
Male,44,8
Male,45,7
Male,46,6
Male,47,6
Male,48,6
Male,49,6
Male,50,5
Male,51,4
Male,52,4
Male,53,4
Male,54,4
Male,55,4
Male,56,2
Male,57,2
Male,58,2
Male,59,2
Male,60,2
Male,61,2
Male,62,2
Male,63,2
Male,64,2
Male,65,2
Male,66,1
Male,67,1
