Year,Conference,num_authors
1990,Vis,119
1991,Vis,124
1992,Vis,125
1993,Vis,121
1994,Vis,129
1995,InfoVis,53
1995,Vis,128
1996,InfoVis,32
1996,Vis,197
1997,InfoVis,36
1997,Vis,187
1998,InfoVis,43
1998,Vis,190
1999,InfoVis,51
1999,Vis,189
2000,InfoVis,56
2000,Vis,216
2001,InfoVis,59
2001,Vis,223
2002,InfoVis,55
2002,Vis,215
2003,InfoVis,78
2003,Vis,210
2004,InfoVis,65
2004,Vis,222
2005,InfoVis,94
2005,Vis,292
2006,InfoVis,68
2006,VAST,91
2006,Vis,190
2007,InfoVis,80
2007,VAST,90
2007,Vis,179
2008,InfoVis,83
2008,VAST,82
2008,Vis,187
2009,InfoVis,112
2009,VAST,103
2009,Vis,187
2010,InfoVis,115
2010,VAST,100
2010,Vis,175
2011,InfoVis,140
2011,VAST,104
2011,Vis,173
2012,InfoVis,158
2012,SciVis,180
2012,VAST,112
2013,InfoVis,128
2013,SciVis,116
2013,VAST,136
2014,InfoVis,148
2014,SciVis,134
2014,VAST,260
2015,InfoVis,144
2015,SciVis,165
2015,VAST,216
2016,InfoVis,140
2016,SciVis,120
2016,VAST,218
2017,InfoVis,126
2017,SciVis,107
2017,VAST,237
2018,InfoVis,169
2018,SciVis,130
2018,VAST,217
2019,InfoVis,220
2019,SciVis,122
2019,VAST,242
2020,InfoVis,251
2020,SciVis,140
2020,VAST,300
